"timestamp","ip","campaignid","placementid","siteid","adunittype","creativeid","jvxsessionid","jvxuid","eventid","deviceid","ap_datasignal","c_params","cachemacro","clickmacro","pageurl","useragent","es_segname","date","_col19"
"1561035592189","36.52.180.197","135306","7c1WS1","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Music_300-250_rev0_still_JP-JA_21JUNE_LM","1561035592.4245","36.52.180.197","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035591985012","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CwQlRR4MLXbSPPMzwkwOB44KABM6K245XnNrIlokJ8C4QASDRjochYInzxYT0E8gBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:52.000"
"1561035593189","117.109.147.95","135306","lmL120","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Workout_300-250_rev0_still_JP-JA_21JUNE_TN","1561035592.4701","117.109.147.95","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035592105177","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CqgMISIMLXdm1BsSbkwOr1Y7QC5yD_o1Xob2Y6L0J8C4QASDRjochYImj14S0FMgBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","111.125.54.14","135306","28A3w6","65d07bae4690f5","20","190613_AW_3x4_003_Generic_001_CTA_AAW_Performance Marketing_Generic2_300-250_rev0_still_JP-JA_21JUNE_LM","1561035592.7717","111.125.54.14","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035591209458","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CJgdsR4MLXbLkDPGA5LcPl9C04AHdgf2NV-eKjrqCCvAuEAEg0Y6HIWCJq8KE8BPIAQmpAst8jco","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","180.92.18.13","135306","2T5XMQ","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Workout_300-250_rev0_still_JP-JA_21JUNE_LM","1561035592.7353","180.92.18.13","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035591338368","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C_4uhR4MLXcDTFJGq7wKDmJXQCJyD_o1X1JT6nJYJ8C4QASDRjochYImDgIDUE8gBCakC05GPZNT","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","126.224.92.129","135306","t10yXx","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Move_300-250_rev0_still_JP-JA_21JUNE_TN","1561035589.6923","126.224.92.129","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035588049880","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CsDrCRIMLXdiFA4nx_APZ-ougA7qh041X3Ny0lokJ8C4QASDRjochYImrxYT0E8gBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15E148","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","106.132.138.45","135306","9nUb4i","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Exercise_300-250_rev0_still_JP-JA_21JUNE_LM","1561035590.7445","106.132.138.45","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035589065118","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=Ct9TrRYMLXd78A_Og9AP6ibWwD6bc_I1X1Mit9ZUJ8C4QASDRjochYInTwITsE8gBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/16B92","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","126.233.78.63","135306","t10yXx","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Move_300-250_rev0_still_JP-JA_21JUNE_TN","1561035590.7516","126.233.78.63","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035590086007","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CQtqMRoMLXfefBdPLtOUPt6m5ILqh041X3Ny0lokJ8C4QASDFpb4jYInzxIT0E8gBCakC05GPZNT","https://googleads.g.doubleclick.net/mads/gma?os_version=12.1.0&u_sso=p&ios_base_sdk=12.1&request_id=1420&platform=iPhone&app_nam","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/16B92","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","106.132.138.45","135306","59Q5oJ","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Move_300-250_rev0_still_JP-JA_21JUNE_LM","1561035592.9054","106.132.138.45","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035591696649","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=COOEWR4MLXcnCKqautOUPrrOvwAm6odONV6aZocS1CfAuEAEg0Y6HIWCJ08CE7BPIAQmpAst8jco","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/16B92","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","60.126.43.191","135306","EVX2pe","65d07bae4690f5","20","190613_AW_3x4_003_Performance Marketing_Generic1_300-250_rev0_still_JP-JA_21JUNE_TN","1561035591.3848","60.126.43.191","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035590309384","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=C4OXyRoMLXYjxEsKrkwPy6JuoA-HS2o5X0LKhwKUJ8C4QASDRjochYImDgID4E8gBCakCy3yNyjj","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/16D57","_Default_","2019-06-20","2019-06-20 12:59:53.000"
"1561035593189","49.97.101.220","135306","z3213N","65d07bae4690f5","20","190613_AW_3x4_004_Function_001_CTA_AAW_Performance Marketing_Music_300-250_rev0_still_JP-JA_21JUNE_TN","1561035591.5819","49.97.101.220","60","","ap_cookieData_type=inv&ap_cookieData_id=","","1561035590248352","https://googleads.g.doubleclick.net/dbm/clk?sa=L&ai=CJbi1RoMLXaCUD4qatOUP5rSJ2AnOituOV_zYyJaJCfAuEAEg0Y6HIWCJs4uO9BPIAQmpAtORj2T","https://googleads.g.doubleclick.net/pagead/ads?caps=interactiveVideo_inlineVideo_mraid1_mraid2_mraid3_th_autoplay_mediation_av_s","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML_ like Gecko) Mobile/15G77","_Default_","2019-06-20","2019-06-20 12:59:53.000"
